Track,Album Name,Artist,Release Date,Spotify Playlist Count,Spotify Popularity,YouTube Views,Explicit Track
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,2024-04-26,30716.0,92.0,84274754.0,0
Not Like Us,Not Like Us,Kendrick Lamar,2024-05-04,28113.0,92.0,116347040.0,1
i like the way you kiss me,I like the way you kiss me,Artemas,2024-03-19,54331.0,92.0,122599116.0,0
Flowers,Flowers - Single,Miley Cyrus,2023-01-12,269802.0,85.0,1096100899.0,0
Houdini,Houdini,Eminem,2024-05-31,7223.0,88.0,77373957.0,1
Lovin On Me,Lovin On Me,Jack Harlow,2023-11-10,105892.0,83.0,131148091.0,1
Beautiful Things,Beautiful Things,Benson Boone,2024-01-18,73118.0,86.0,308723145.0,0
Gata Only,Gata Only,FloyyMenor,2024-02-02,40094.0,92.0,228382568.0,1
Danza Kuduro - Cover,ııııııııııııııııııııı - ıııııııııııııııııı -,MUSIC LAB JPN,2024-06-09,1.0,,,1
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,2024-05-23,104.0,86.0,32735244.0,1
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,2024-05-10,16219.0,91.0,32229063.0,1
The Door,The Door,Teddy Swims,2024-06-14,2.0,,,1
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,138.0,92.0,40022524.0,0
Like That,WE DON'T TRUST YOU,Future,2024-03-22,43025.0,88.0,98081493.0,1
bathroom floor,bathroom floor,Kids With Buns,2022-10-07,277.0,12.0,6736502312.0,0
LALA,LALA - Single,Myke Towers,2023-03-22,103605.0,79.0,934302031.0,1
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,Taylor Swift,2024-04-18,12784.0,89.0,104673836.0,0
greedy,greedy,Tate McRae,2023-09-14,105218.0,87.0,141646818.0,1
BLUE,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,6499.0,86.0,16038053.0,0
As It Was,As It Was,Harry Styles,2022-03-31,407119.0,87.0,800899315.0,0
Paint The Town Red,Paint The Town Red,Doja Cat,2023-08-04,17089.0,78.0,240970670.0,1
Espresso,Espresso,Sabrina Carpenter,2024-04-12,24425.0,95.0,107550212.0,1
Danza Kuduro - Cover,CLUB DE YOKUKIKU YOUGAKU MEDLEY,MUSIC LAB JPN,2024-05-21,10.0,,,1
TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyoncï¿,2024-02-10,34044.0,86.0,35724356.0,1
Future,Future,official sound studio,2024-01-10,1.0,,,0
Beat Automotivo Tan Tan Tan Viral,Beat Automotivo Tan Tan Tan Viral,WZ Beat,2022-05-24,3504.0,35.0,4233958.0,0
